Player1_ID,Player2_ID,Distance
4,5,653.55
4,6,214.76
4,7,156.46
4,8,194.20
4,9,323.64
4,11,488.33
4,13,238.89
4,14,192.72
4,43,244.81
5,6,722.04
5,7,639.95
5,8,535.59
5,9,916.04
5,11,169.30
5,13,793.66
5,14,798.81
5,43,717.72
6,7,90.43
6,8,187.78
6,9,198.57
6,11,554.03
6,13,74.67
6,14,120.22
6,43,35.74
7,8,105.00
7,9,276.10
7,11,470.97
7,13,154.99
7,14,165.74
7,43,105.42
8,9,380.61
8,11,366.94
8,13,258.12
8,14,269.16
8,43,189.62
9,11,747.06
9,13,124.10
9,14,131.55
9,43,214.67
11,13,625.05
11,14,629.54
11,43,551.14
13,14,74.97
13,43,95.71
14,43,152.75
