Player1_ID,Player2_ID,Distance
4,6,235.69
4,7,217.18
4,8,180.85
4,9,344.91
4,11,503.84
4,13,272.39
4,14,146.58
4,43,234.31
4,65,747.10
6,7,79.51
6,8,201.81
6,9,174.29
6,11,605.82
6,13,79.76
6,14,101.40
6,43,162.00
6,65,862.77
7,8,246.16
7,9,133.15
7,11,650.00
7,13,57.31
7,14,72.11
7,43,226.24
7,65,905.63
8,9,371.38
8,11,405.50
8,13,277.05
8,14,192.35
8,43,77.82
8,65,662.14
9,11,776.89
9,13,95.01
9,14,204.38
9,43,336.17
9,65,1033.46
11,13,682.44
11,14,589.01
11,43,451.88
11,65,256.97
13,14,125.87
13,43,241.75
13,65,939.18
14,43,193.04
14,65,843.00
43,65,708.31
