Player1_ID,Player2_ID,Distance
4,5,686.88
4,6,221.68
4,7,160.37
4,8,191.93
4,9,343.42
4,11,500.15
4,13,248.32
4,14,173.42
4,43,237.31
4,64,608.28
4,65,695.84
5,6,759.45
5,7,735.98
5,8,577.45
5,9,967.08
5,11,191.17
5,13,840.62
5,14,808.25
5,43,726.23
5,64,103.45
5,65,26.83
6,7,61.40
6,8,183.93
6,9,211.46
6,11,569.76
6,13,85.51
6,14,109.08
6,43,45.49
6,64,663.90
6,65,775.20
7,8,160.25
7,9,232.40
7,11,544.94
7,13,109.77
7,14,81.44
7,43,86.59
7,64,644.01
7,65,750.07
8,9,389.67
8,11,386.93
8,13,263.21
8,14,237.92
8,43,157.94
8,64,484.15
8,65,592.42
9,11,776.35
9,13,127.02
9,14,173.08
9,43,252.04
9,64,873.32
9,65,981.74
11,13,650.12
11,14,617.12
11,43,537.94
11,64,109.77
11,65,205.51
13,14,81.60
13,43,128.71
13,64,746.42
13,65,855.60
14,43,151.49
14,64,718.67
14,65,821.18
43,64,629.05
43,65,742.88
64,65,126.61
