Player1_ID,Player2_ID,Distance
4,5,808.10
4,6,283.21
4,7,517.57
4,8,579.97
4,9,276.08
4,10,270.82
4,11,620.65
4,13,216.12
4,14,169.46
5,6,675.15
5,7,361.81
5,8,294.29
5,9,931.62
5,10,884.55
5,11,219.15
5,13,854.23
5,14,911.04
6,7,321.91
6,8,393.08
6,9,260.10
6,10,210.83
6,11,458.70
6,13,190.44
6,14,276.07
7,8,71.20
7,9,581.95
7,10,532.66
7,11,142.78
7,13,509.35
7,14,581.18
8,9,653.09
8,10,603.85
8,11,78.49
8,13,580.16
8,14,650.44
9,10,51.48
9,11,717.29
9,13,82.10
9,14,120.07
10,11,669.16
10,13,55.66
10,14,138.40
11,13,641.81
11,14,705.73
13,14,103.25
