Player1_ID,Player2_ID,Distance
4,5,703.08
4,6,224.32
4,7,428.88
4,8,394.36
4,9,251.86
4,10,256.46
4,11,540.50
4,13,219.09
4,14,180.35
4,38,251.10
5,6,640.69
5,7,338.12
5,8,363.11
5,9,783.83
5,10,810.11
5,11,184.59
5,13,780.20
5,14,831.99
5,38,628.41
6,7,309.87
6,8,279.97
6,9,143.14
6,10,169.65
6,11,457.52
6,13,143.03
6,14,223.08
6,38,28.32
7,8,34.54
7,9,451.77
7,10,479.00
7,11,153.84
7,13,452.52
7,14,518.87
7,38,294.19
8,9,422.64
8,10,449.54
8,11,178.68
8,13,421.97
8,14,485.99
8,38,265.84
9,10,28.16
9,11,600.55
9,13,35.36
9,14,136.00
9,38,157.92
10,11,627.15
10,13,39.41
10,14,120.90
10,38,185.53
11,13,598.29
11,14,655.44
11,38,444.36
13,14,104.48
13,38,163.00
14,38,248.57
