Player1_ID,Player2_ID,Distance
4,5,898.20
4,6,363.50
4,7,597.40
4,8,720.09
4,9,303.84
4,10,296.95
4,11,686.04
4,13,235.31
4,14,172.41
5,6,703.15
5,7,375.46
5,8,276.52
5,9,1050.64
5,10,919.29
5,11,256.40
5,13,944.78
5,14,973.97
6,7,332.96
6,8,454.60
6,9,361.73
6,10,221.62
6,11,449.75
6,13,266.27
6,14,327.33
7,8,126.06
7,9,690.64
7,10,553.53
7,11,119.08
7,13,588.71
7,14,632.04
8,9,814.60
8,10,676.10
8,11,65.79
8,13,713.70
8,14,758.08
9,10,142.43
9,11,803.84
9,13,107.78
9,14,131.47
10,11,668.81
10,13,75.60
10,14,162.29
11,13,700.07
11,14,737.76
13,14,86.82
