Player1_ID,Player2_ID,Distance
4,6,230.59
4,7,210.64
4,8,184.45
4,9,352.60
4,11,510.36
4,13,268.67
4,14,154.31
4,43,228.60
4,65,743.69
6,7,67.36
6,8,189.71
6,9,196.21
6,11,597.60
6,13,83.38
6,14,97.62
6,43,121.06
6,65,844.19
7,8,227.00
7,9,157.70
7,11,635.52
7,13,58.05
7,14,56.61
7,43,177.16
7,65,881.21
8,9,381.21
8,11,409.48
8,13,269.30
8,14,199.61
8,43,91.24
8,65,655.80
9,11,790.69
9,13,113.00
9,14,204.86
9,43,316.99
9,65,1036.93
11,13,678.60
11,14,601.00
11,43,482.93
11,65,246.60
13,14,114.48
13,43,204.41
13,65,925.04
14,43,173.00
14,65,844.95
43,65,729.23
