Player1_ID,Player2_ID,Distance
4,6,230.90
4,7,219.01
4,8,181.60
4,9,358.90
4,11,499.94
4,13,263.91
4,14,156.35
4,43,223.18
4,65,731.75
6,7,51.62
6,8,186.55
6,9,204.41
6,11,591.01
6,13,85.70
6,14,104.56
6,43,105.80
6,65,835.15
7,8,217.39
7,9,168.58
7,11,622.99
7,13,50.70
7,14,69.64
7,43,150.22
7,65,866.79
8,9,385.68
8,11,405.85
8,13,265.93
8,14,205.23
8,43,97.31
8,65,649.85
9,11,791.47
9,13,120.07
9,14,206.63
9,43,310.09
9,65,1035.33
11,13,671.78
11,14,601.03
11,43,490.49
11,65,244.14
13,14,108.41
13,43,191.37
13,65,915.76
14,43,169.07
14,65,842.65
43,65,734.28
