Player1_ID,Player2_ID,Distance
4,5,941.58
4,6,409.59
4,7,677.17
4,8,756.55
4,9,304.53
4,10,317.28
4,11,724.71
4,13,240.02
4,14,168.86
5,6,701.78
5,7,342.55
5,8,280.77
5,9,1085.84
5,10,933.88
5,11,267.68
5,13,976.92
5,14,986.49
6,7,366.88
6,8,444.33
6,9,404.45
6,10,239.20
6,11,437.52
6,13,306.47
6,14,348.57
7,8,81.02
7,9,764.96
7,10,604.65
7,11,75.29
7,13,659.87
7,14,683.04
8,9,844.60
8,10,683.01
8,11,55.04
8,13,740.12
8,14,764.02
9,10,169.19
9,11,831.07
9,13,110.46
9,14,141.16
10,11,673.46
10,13,97.58
10,14,171.97
11,13,724.40
11,14,743.04
13,14,78.19
