Player1_ID,Player2_ID,Distance
4,5,886.05
4,6,340.97
4,7,578.54
4,8,691.71
4,9,292.55
4,10,283.21
4,11,682.13
4,13,226.08
4,14,173.99
5,6,700.82
5,7,378.06
5,8,278.49
5,9,1023.48
5,10,922.44
5,11,240.71
5,13,922.44
5,14,975.23
6,7,328.40
6,8,444.26
6,9,332.18
6,10,225.73
6,11,462.65
6,13,241.01
6,14,322.12
7,8,118.02
7,9,658.59
7,10,553.65
7,11,137.35
7,13,561.80
7,14,628.13
8,9,775.56
8,10,669.94
8,11,63.07
8,13,679.48
8,14,746.08
9,10,108.23
9,11,789.74
9,13,103.83
9,14,121.02
10,11,686.48
10,13,59.48
10,14,152.55
11,13,690.68
11,14,750.80
13,14,97.58
