Player1_ID,Player2_ID,Distance
4,6,231.40
4,7,206.78
4,8,182.70
4,9,349.09
4,11,511.33
4,13,267.26
4,14,151.64
4,43,230.82
4,65,746.58
6,7,71.40
6,8,192.17
6,9,189.17
6,11,600.56
6,13,80.50
6,14,97.13
6,43,132.10
6,65,849.29
7,8,228.05
7,9,154.00
7,11,637.13
7,13,60.61
7,14,55.17
7,43,189.08
7,65,884.72
8,9,376.58
8,11,410.26
8,13,268.47
8,14,195.26
8,43,87.62
8,65,658.64
9,11,786.82
9,13,109.00
9,14,204.39
9,43,320.98
9,65,1035.20
11,13,678.47
11,14,598.00
11,43,475.38
11,65,248.74
13,14,115.62
13,43,212.60
13,65,927.02
14,43,177.46
14,65,844.00
43,65,723.79
