Player1_ID,Player2_ID,Distance
4,5,734.61
4,6,238.03
4,7,454.12
4,8,448.83
4,9,255.23
4,10,260.60
4,11,561.10
4,13,216.10
4,14,184.04
5,6,660.72
5,7,360.01
5,8,344.94
5,9,830.58
5,10,847.97
5,11,198.15
5,13,805.37
5,14,864.52
6,7,313.00
6,8,320.92
6,9,170.66
6,10,188.40
6,11,464.22
6,13,151.12
6,14,237.86
7,8,25.50
7,9,483.14
7,10,501.03
7,11,162.93
7,13,463.39
7,14,538.81
8,9,491.55
8,10,509.32
8,11,146.82
8,13,470.06
8,14,541.83
9,10,18.00
9,11,634.63
9,13,39.81
9,14,123.43
10,11,652.20
10,13,50.21
10,14,116.38
11,13,610.92
11,14,675.67
13,14,103.95
