Player1_ID,Player2_ID,Distance
4,6,230.99
4,7,213.82
4,8,183.88
4,9,357.79
4,11,505.03
4,13,271.49
4,14,156.28
4,43,225.57
4,65,737.72
6,7,62.29
6,8,187.52
6,9,202.25
6,11,593.97
6,13,84.21
6,14,100.13
6,43,110.89
6,65,839.26
7,8,223.02
7,9,164.00
7,11,630.07
7,13,58.00
7,14,59.48
7,43,163.41
7,65,874.75
8,9,384.98
8,11,407.83
8,13,268.47
8,14,202.28
8,43,94.92
8,65,652.96
9,11,792.79
9,13,118.07
9,14,207.10
9,43,312.92
9,65,1037.80
11,13,676.15
11,14,601.00
11,43,488.77
11,65,245.28
13,14,115.80
13,43,195.03
13,65,921.36
14,43,168.51
14,65,843.86
43,65,733.71
