Player1_ID,Player2_ID,Distance
1,3,514.15
1,4,624.68
1,5,274.83
1,6,925.12
1,7,1274.01
1,8,1098.82
1,10,79.76
1,11,163.37
1,13,546.63
1,14,983.35
1,16,284.41
1,18,1240.39
1,25,564.16
1,33,145.89
1,47,246.01
1,49,329.66
3,4,191.44
3,5,252.58
3,6,414.24
3,7,759.92
3,8,603.30
3,10,581.04
3,11,401.81
3,13,121.75
3,14,482.89
3,16,324.91
3,18,736.51
3,25,209.02
3,33,410.16
3,47,357.40
3,49,297.32
4,5,403.87
4,6,337.08
4,7,690.65
4,8,613.81
4,10,700.37
4,11,479.55
4,13,84.38
4,14,370.00
4,16,367.92
4,18,625.16
4,25,85.76
4,33,493.24
4,47,409.54
4,49,324.23
5,6,666.48
5,7,1008.16
5,8,824.04
5,10,333.78
5,11,216.23
5,13,319.56
5,14,734.68
5,16,224.50
5,18,989.03
5,25,369.99
5,33,214.87
5,47,226.30
5,49,237.90
6,7,355.56
6,8,325.25
6,10,994.31
6,11,797.21
6,13,392.54
6,14,100.12
6,16,695.72
6,18,326.24
6,25,422.00
6,33,808.60
6,47,735.66
6,49,654.91
7,8,304.07
7,10,1340.39
7,11,1151.29
7,13,748.04
7,14,334.79
7,16,1051.23
7,18,180.85
7,25,774.31
7,33,1162.18
7,47,1091.05
7,49,1010.45
8,10,1154.97
8,11,1003.77
8,13,639.80
8,14,388.73
8,16,925.56
8,18,432.56
8,25,697.72
8,33,1010.94
8,47,960.00
8,49,892.87
10,11,242.98
10,13,621.00
10,14,1055.54
10,16,364.17
10,18,1312.23
10,25,641.95
10,33,225.57
10,47,325.66
10,49,409.35
11,13,407.54
11,14,846.34
11,16,122.25
11,18,1103.10
11,25,411.66
11,33,17.69
11,47,82.68
11,49,168.43
13,14,439.01
13,16,303.19
13,18,696.03
13,25,89.01
13,33,420.10
13,47,343.21
13,49,263.10
14,16,737.62
14,18,257.16
14,25,449.52
14,33,859.08
14,47,778.97
14,49,694.22
16,18,993.06
16,25,294.61
16,33,139.09
16,47,42.30
16,49,46.57
18,25,701.92
18,33,1116.00
18,47,1034.68
18,49,949.05
25,33,426.57
25,47,336.86
25,49,249.10
33,47,100.12
33,49,185.01
47,49,88.65
