Player1_ID,Player2_ID,Distance
1,3,696.88
1,4,582.94
1,5,383.86
1,6,815.07
1,7,1256.81
1,8,1017.95
1,10,185.01
1,11,52.01
1,13,428.43
1,14,746.63
1,16,375.42
1,18,1127.84
1,24,393.61
1,25,564.50
1,33,76.32
3,4,273.81
3,5,324.42
3,6,149.46
3,7,560.09
3,8,391.83
3,10,780.76
3,11,700.42
3,13,291.78
3,14,180.83
3,16,423.97
3,18,464.33
3,24,606.01
3,25,333.65
3,33,731.72
4,5,327.96
4,6,297.89
4,7,746.95
4,8,662.51
4,10,721.69
4,11,566.60
4,13,179.61
4,14,191.76
4,16,219.66
4,18,567.96
4,24,362.11
4,25,60.31
4,33,590.38
5,6,459.83
5,7,881.78
5,8,637.31
5,10,456.56
5,11,397.28
5,13,157.49
5,14,422.30
5,16,264.85
5,18,780.45
5,24,443.64
5,25,351.00
5,33,431.07
6,7,454.82
6,8,406.32
6,10,914.87
6,11,812.02
6,13,390.13
6,14,116.00
6,16,497.93
6,18,320.68
6,24,659.19
6,25,354.49
6,33,841.10
7,8,397.56
7,10,1334.87
7,11,1258.74
7,13,840.63
7,14,555.43
7,16,952.71
7,18,250.73
7,24,1108.70
7,25,799.30
7,33,1289.23
8,10,1050.48
8,11,1034.44
8,13,667.03
8,14,516.10
8,16,807.95
8,18,503.55
8,24,994.85
8,25,722.81
8,33,1068.34
10,11,234.01
10,13,550.15
10,14,864.28
10,16,533.11
10,18,1234.75
10,24,576.89
10,25,713.89
10,33,245.17
11,13,422.30
11,14,737.51
11,16,352.66
11,18,1120.51
11,24,350.41
11,25,543.31
11,33,34.67
13,14,318.71
13,16,144.81
13,18,699.48
13,24,336.55
13,25,194.54
13,33,451.01
14,16,404.69
14,18,383.58
14,24,553.28
14,25,244.40
14,33,764.30
16,18,786.16
16,24,191.82
16,25,190.71
16,33,373.94
18,24,918.49
18,25,611.13
18,33,1147.69
24,25,310.05
24,33,354.52
25,33,564.52
