Player1_ID,Player2_ID,Distance
1,3,671.13
1,4,570.48
1,5,362.63
1,6,819.29
1,7,1241.36
1,8,1013.83
1,10,170.07
1,11,60.73
1,13,432.19
1,14,763.80
1,16,354.76
1,18,1120.55
1,24,380.13
1,25,549.20
1,33,62.65
3,4,255.03
3,5,320.04
3,6,170.67
3,7,570.32
3,8,403.90
3,10,749.04
3,11,659.18
3,13,261.47
3,14,186.49
3,16,412.17
3,18,478.23
3,24,569.47
3,25,313.46
3,33,706.28
4,5,324.10
4,6,308.15
4,7,738.73
4,8,652.75
4,10,697.29
4,11,537.27
4,13,165.56
4,14,218.52
4,16,228.43
4,18,571.07
4,24,345.95
4,25,59.46
4,33,584.74
5,6,482.56
5,7,887.35
5,8,653.34
5,10,429.08
5,11,363.46
5,13,161.47
5,14,452.24
5,16,253.18
5,18,791.84
5,24,414.90
5,25,341.71
5,33,407.10
6,7,434.63
6,8,390.89
6,10,910.46
6,11,800.09
6,13,390.25
6,14,104.64
6,16,519.29
6,18,309.59
6,24,653.68
6,25,364.05
6,33,848.05
7,8,379.22
7,10,1313.59
7,11,1227.49
7,13,820.53
7,14,521.31
7,16,953.92
7,18,241.36
7,24,1084.35
7,25,791.33
7,33,1275.02
8,10,1045.63
8,11,1016.69
8,13,654.49
8,14,492.06
8,16,810.40
8,18,486.08
8,24,972.20
8,25,712.19
8,33,1060.39
10,11,230.46
10,13,542.43
10,14,870.30
10,16,500.37
10,18,1218.75
10,24,548.02
10,25,685.89
10,33,213.78
11,13,410.00
11,14,738.33
11,16,314.49
11,18,1096.54
11,24,322.97
11,25,511.06
11,33,48.09
13,14,332.04
13,16,157.08
13,18,688.39
13,24,325.21
13,25,180.43
13,33,458.03
14,16,441.73
14,18,358.45
14,24,563.22
14,25,270.02
14,33,786.40
16,18,798.28
16,24,170.58
16,25,196.74
16,33,360.82
18,24,905.97
18,25,615.09
18,33,1144.62
24,25,293.57
24,33,357.11
25,33,557.55
