Player1_ID,Player2_ID,Distance
1,3,788.02
1,4,667.56
1,5,509.85
1,6,838.98
1,7,1354.12
1,8,1061.74
1,9,132.67
1,10,252.19
1,11,89.82
1,13,449.49
1,14,711.03
1,16,515.26
1,18,1202.49
1,24,452.95
1,25,661.36
3,4,328.94
3,5,295.88
3,6,129.65
3,7,566.13
3,8,394.46
3,9,766.93
3,10,866.38
3,11,774.35
3,13,362.66
3,14,232.18
3,16,404.21
3,18,458.88
3,24,726.67
3,25,383.02
4,5,371.29
4,6,269.31
4,7,792.56
4,8,723.36
4,9,594.50
4,10,834.96
4,11,618.55
4,13,245.49
4,14,100.45
4,16,154.81
4,18,570.74
4,24,440.56
4,25,54.08
5,6,384.79
5,7,855.29
5,8,563.17
5,9,515.91
5,10,570.54
5,11,513.25
5,13,189.84
5,14,337.00
5,16,318.49
5,18,747.78
5,24,584.14
5,25,408.40
6,7,536.61
6,8,483.39
6,9,798.00
6,10,947.65
6,11,812.04
6,13,392.00
6,14,170.95
6,16,387.64
6,18,367.82
6,24,702.93
6,25,320.04
7,8,478.72
7,9,1327.65
7,10,1419.34
7,11,1337.83
7,13,919.75
7,14,702.05
7,16,923.58
7,18,293.21
7,24,1232.98
7,25,836.38
8,9,1078.95
8,10,1055.26
8,11,1074.64
8,13,711.47
8,14,625.62
8,16,786.30
8,18,591.89
8,24,1103.76
8,25,777.44
9,10,384.61
9,11,43.01
9,13,407.96
9,14,653.17
9,16,439.72
9,18,1151.48
9,24,323.54
9,25,579.17
10,11,341.95
10,13,592.44
10,14,853.56
10,16,695.83
10,18,1314.78
10,24,699.51
10,25,841.98
11,13,420.20
11,14,672.35
11,16,463.92
11,18,1169.42
11,24,365.85
11,25,606.24
13,14,264.92
13,16,138.31
13,18,753.09
13,24,401.06
13,25,263.10
14,16,223.64
14,18,498.61
14,24,532.78
14,25,153.64
16,18,719.12
16,24,322.59
16,25,147.41
18,24,1003.17
18,25,604.55
24,25,399.80
