Player1_ID,Player2_ID,Distance
1,3,425.18
1,4,683.07
1,5,235.65
1,6,938.90
1,7,1186.83
1,8,1089.54
1,11,289.17
1,13,557.68
1,14,1042.89
1,16,273.53
1,18,1279.10
1,25,673.57
1,33,170.53
1,49,313.31
1,57,129.39
1,59,101.24
3,4,289.64
3,5,208.69
3,6,515.00
3,7,761.69
3,8,675.02
3,11,177.00
3,13,169.14
3,14,624.95
3,16,231.61
3,18,860.37
3,25,300.32
3,33,282.09
3,49,211.78
3,57,552.99
3,59,524.96
4,5,493.03
4,6,296.59
4,7,545.95
4,8,543.32
4,11,395.46
4,13,126.65
4,14,370.11
4,16,426.20
4,18,603.68
4,25,49.40
4,33,517.47
4,49,387.68
4,57,812.21
4,59,776.07
5,6,720.47
5,7,963.21
5,8,855.43
5,11,163.62
5,13,367.46
5,14,833.20
5,16,200.41
5,18,1068.21
5,25,496.07
5,33,157.47
5,49,219.46
5,57,356.42
5,59,336.62
6,7,252.77
6,8,279.55
6,11,664.35
6,13,398.10
6,14,133.69
6,16,704.59
6,18,352.75
6,25,335.60
6,33,784.40
6,49,668.91
6,57,1067.45
6,59,1037.36
7,8,233.32
7,11,916.10
7,13,650.86
7,14,205.18
7,16,957.16
7,18,186.59
7,25,581.01
7,33,1035.39
7,49,921.65
7,57,1314.58
7,59,1286.21
8,11,847.23
8,13,612.44
8,14,341.05
8,16,896.71
8,18,419.64
8,25,589.46
8,33,957.08
8,49,866.97
8,57,1211.72
8,59,1190.78
11,13,272.00
11,14,760.29
11,16,56.86
11,18,996.06
11,25,384.42
11,33,122.10
11,49,57.43
11,57,417.61
11,59,380.61
13,14,488.45
13,16,307.61
13,18,724.08
13,25,131.21
13,33,394.03
13,49,271.06
13,57,687.00
13,59,651.94
14,16,794.91
14,18,236.21
14,25,397.06
14,33,882.15
14,49,757.03
14,57,1172.20
14,59,1139.09
16,18,1029.63
16,25,409.33
16,33,103.94
16,49,40.26
16,57,397.85
16,59,356.56
18,25,626.64
18,33,1118.02
18,49,991.33
18,57,1408.41
18,59,1375.21
25,33,505.20
25,49,369.72
25,57,801.93
25,59,763.71
33,49,143.13
33,57,297.12
33,59,258.75
49,57,438.05
49,59,396.81
57,59,50.45
