Player1_ID,Player2_ID,Distance
1,3,591.75
1,4,570.25
1,5,311.96
1,6,868.01
1,7,1253.68
1,8,1048.93
1,10,117.35
1,11,95.27
1,13,483.37
1,14,870.06
1,16,304.65
1,18,1166.71
1,25,520.31
1,33,73.38
3,4,191.05
3,5,291.76
3,6,285.59
3,7,662.15
3,8,489.52
3,10,653.35
3,11,566.35
3,13,157.72
3,14,310.82
3,16,377.36
3,18,593.28
3,25,252.24
3,33,581.05
4,5,337.54
4,6,337.78
4,7,731.13
4,8,637.24
4,10,659.41
4,11,515.97
4,13,105.36
4,14,314.53
4,16,286.25
4,18,609.19
4,25,78.49
4,33,536.48
5,6,576.55
5,7,951.03
5,8,737.16
5,10,362.14
5,11,311.75
5,13,232.54
5,14,592.81
5,16,233.93
5,18,882.96
5,25,325.85
5,33,319.39
6,7,394.87
6,8,356.75
6,10,936.68
6,11,831.06
6,13,391.60
6,14,80.02
6,16,614.92
6,18,308.13
6,25,414.88
6,33,848.57
7,8,344.68
7,10,1313.00
7,11,1222.62
7,13,785.05
7,14,424.09
7,16,1009.69
7,18,208.06
7,25,806.87
7,33,1239.17
8,10,1083.69
8,11,1041.27
8,13,644.40
8,14,432.98
8,16,866.78
8,18,453.84
8,25,714.18
8,33,1052.56
10,11,212.23
10,13,564.96
10,14,946.85
10,16,410.84
10,18,1240.94
10,25,617.16
10,33,189.17
11,13,439.96
11,14,825.00
11,16,235.02
11,18,1122.02
11,25,457.74
11,33,24.84
13,14,386.94
13,16,227.85
13,18,683.95
13,25,118.42
13,33,458.18
14,16,599.91
14,18,297.14
14,25,386.86
14,33,844.12
16,18,895.40
16,25,223.30
16,33,257.56
18,25,677.98
18,33,1141.23
25,33,479.63
