Player1_ID,Player2_ID,Distance
1,3,707.77
1,4,589.00
1,5,394.41
1,6,819.27
1,7,1262.73
1,8,1023.34
1,10,186.10
1,11,50.01
1,13,430.56
1,14,747.20
1,16,385.18
1,18,1130.95
1,24,396.98
1,25,571.64
1,33,80.01
3,4,278.74
3,5,324.57
3,6,144.69
3,7,555.09
3,8,389.12
3,10,785.75
3,11,710.86
3,13,299.88
3,14,179.89
3,16,424.84
3,18,456.68
3,24,616.00
3,25,338.12
3,33,740.07
4,5,327.39
4,6,297.47
4,7,748.54
4,8,665.47
4,10,724.07
4,11,572.98
4,13,183.85
4,14,187.26
4,16,214.84
4,18,566.15
4,24,366.75
4,25,59.67
4,33,592.13
5,6,453.79
5,7,876.82
5,8,632.66
5,10,461.47
5,11,406.68
5,13,154.99
5,14,414.11
5,16,266.01
5,18,772.86
5,24,450.54
5,25,351.89
5,33,439.97
6,7,456.99
6,8,408.93
6,10,913.74
6,11,816.07
6,13,392.08
6,14,118.79
6,16,491.86
6,18,319.08
6,24,663.24
6,25,353.31
6,33,842.13
7,8,398.24
7,10,1334.45
7,11,1264.42
7,13,844.46
7,14,561.41
7,16,948.82
7,18,251.59
7,24,1115.03
7,25,800.02
7,33,1292.49
8,10,1048.79
8,11,1038.98
8,13,670.30
8,14,520.62
8,16,805.41
8,18,502.67
8,24,1001.35
8,25,725.13
8,33,1072.59
10,11,233.81
10,13,547.84
10,14,860.33
10,16,539.32
10,18,1232.26
10,24,580.45
10,25,717.72
10,33,253.34
11,13,424.43
11,14,738.14
11,16,363.43
11,18,1123.80
11,24,355.20
11,25,551.04
11,33,36.77
13,14,317.24
13,16,140.60
13,18,700.47
13,24,340.15
13,25,199.02
13,33,450.05
14,16,394.65
14,18,386.47
14,24,553.62
14,25,239.35
14,33,761.13
16,18,779.19
16,24,199.61
16,25,187.62
16,33,379.80
18,24,922.00
18,25,608.55
18,33,1147.38
24,25,315.80
24,33,351.75
25,33,567.08
