Player1_ID,Player2_ID,Distance
1,3,705.60
1,4,587.21
1,5,398.53
1,6,809.78
1,7,1263.54
1,8,1017.63
1,10,198.32
1,11,49.04
1,13,422.67
1,14,735.46
1,16,389.71
1,18,1129.02
1,24,395.48
1,25,572.89
1,33,83.17
3,4,278.46
3,5,319.43
3,6,140.07
3,7,558.06
3,8,389.34
3,10,794.27
3,11,711.29
3,13,304.22
3,14,179.63
3,16,420.52
3,18,457.08
3,24,623.83
3,25,340.60
3,33,738.94
4,5,327.33
4,6,289.88
4,7,751.36
4,8,665.92
4,10,735.11
4,11,574.04
4,13,189.50
4,14,177.12
4,16,208.78
4,18,565.91
4,24,374.93
4,25,62.20
4,33,590.17
5,6,442.82
5,7,874.16
5,8,623.02
5,10,475.08
5,11,413.31
5,13,153.39
5,14,403.39
5,16,271.11
5,18,768.82
5,24,461.98
5,25,357.21
5,33,446.07
6,7,467.71
6,8,416.00
6,10,916.06
6,11,809.20
6,13,390.01
6,14,120.24
6,16,478.77
6,18,326.03
6,24,663.74
6,25,347.05
6,33,833.09
7,8,407.45
7,10,1345.06
7,11,1267.92
7,13,852.61
7,14,574.30
7,16,946.41
7,18,254.70
7,24,1125.99
7,25,803.18
7,33,1294.21
8,10,1049.46
8,11,1035.82
8,13,671.93
8,14,528.30
8,16,800.86
8,18,510.24
8,24,1008.40
8,25,728.09
8,33,1069.05
10,11,243.87
10,13,552.35
10,14,861.39
10,16,556.82
10,18,1241.82
10,24,592.24
10,25,732.61
10,33,267.34
11,13,419.48
11,14,729.03
11,16,370.84
11,18,1124.64
11,24,355.38
11,25,554.86
11,33,38.42
13,14,313.64
13,16,137.59
13,18,706.40
13,24,345.93
13,25,208.00
13,33,443.11
14,16,378.62
14,18,396.56
14,24,551.75
14,25,230.32
14,33,749.37
16,18,773.13
16,24,209.54
16,25,184.02
16,33,383.92
18,24,929.49
18,25,607.56
18,33,1145.70
24,25,323.90
24,33,346.56
25,33,567.34
