Player1_ID,Player2_ID,Distance
1,3,478.93
1,4,681.30
1,5,275.44
1,6,961.44
1,7,1291.86
1,8,1133.50
1,10,99.72
1,11,250.57
1,13,579.13
1,14,1045.45
1,16,297.05
1,18,1301.53
1,25,638.60
1,33,181.34
1,49,349.48
1,51,71.69
3,4,246.21
3,5,219.06
3,6,484.20
3,7,812.93
3,8,669.02
3,10,573.22
3,11,263.43
3,13,148.82
3,14,575.41
3,16,268.00
3,18,829.80
3,25,242.62
3,33,331.93
3,49,231.70
3,51,544.76
4,5,453.21
4,6,318.07
4,7,651.55
4,8,589.73
4,10,780.42
4,11,434.33
4,13,104.75
4,14,374.49
4,16,404.49
4,18,628.47
4,25,70.84
4,33,508.07
4,49,349.89
4,51,738.33
5,6,701.24
5,7,1025.36
5,8,858.29
5,10,362.67
5,11,158.53
5,13,348.83
5,14,794.43
5,16,211.12
5,18,1048.50
5,25,429.89
5,33,184.88
5,49,224.72
5,51,345.86
6,7,336.40
6,8,310.10
6,10,1057.00
6,11,728.04
6,13,398.25
6,14,118.09
6,16,709.15
6,18,351.26
6,25,386.53
6,33,801.52
6,49,656.79
6,51,1025.06
7,8,280.02
7,10,1385.61
7,11,1063.05
7,13,734.65
7,14,294.85
7,16,1045.45
7,18,175.48
7,25,717.71
7,33,1136.16
7,49,993.19
7,51,1357.09
8,10,1219.53
8,11,932.30
8,13,640.02
8,14,368.88
8,16,930.06
8,18,428.92
8,25,660.45
8,33,1000.62
8,49,884.38
8,51,1203.13
10,11,350.28
10,13,677.83
10,14,1142.95
10,16,395.77
10,18,1398.90
10,25,738.28
10,33,280.44
10,49,448.74
10,51,71.59
11,13,335.01
11,14,804.18
11,16,61.29
11,18,1060.04
11,25,388.54
11,33,74.01
11,49,102.65
11,51,304.14
13,14,469.21
13,16,311.26
13,18,725.02
13,25,95.29
13,33,409.02
13,49,258.54
13,51,637.85
14,16,778.25
14,18,256.12
14,25,435.18
14,33,878.18
14,49,724.00
14,51,1106.16
16,18,1032.92
16,25,352.04
16,33,115.84
16,49,55.23
16,51,343.02
18,25,685.93
18,33,1134.04
18,49,978.37
18,51,1362.27
25,33,460.99
25,49,296.82
25,51,691.96
33,49,168.31
33,51,230.98
49,51,397.52
