Player1_ID,Player2_ID,Distance
1,3,474.05
1,4,686.24
1,5,277.99
1,6,964.47
1,7,1294.12
1,8,1132.13
1,10,105.77
1,11,260.16
1,13,582.10
1,14,1051.44
1,16,298.02
1,18,1306.42
1,25,645.16
1,33,183.47
1,49,347.64
1,51,72.90
3,4,254.83
3,5,210.83
3,6,492.20
3,7,820.08
3,8,672.17
3,10,574.22
3,11,250.48
3,13,154.94
3,14,586.42
3,16,261.96
3,18,839.59
3,25,249.88
3,33,322.45
3,49,225.40
3,51,542.49
4,5,454.61
4,6,316.69
4,7,649.74
4,8,586.23
4,10,791.43
4,11,429.35
4,13,106.63
4,14,375.48
4,16,407.40
4,18,628.61
4,25,68.68
4,33,509.35
4,49,354.56
4,51,746.58
5,6,701.08
5,7,1024.47
5,8,854.27
5,10,371.25
5,11,156.72
5,13,348.39
5,14,797.21
5,16,208.09
5,18,1050.06
5,25,432.13
5,33,180.09
5,49,218.13
5,51,350.13
6,7,335.93
6,8,308.97
6,10,1066.00
6,11,721.25
6,13,398.49
6,14,120.92
6,16,709.90
6,18,352.93
6,25,383.01
6,33,800.15
6,49,658.74
6,51,1030.93
7,8,282.14
7,10,1393.72
7,11,1055.69
7,13,734.42
7,14,293.29
7,16,1045.68
7,18,176.73
7,25,713.82
7,33,1134.03
7,49,994.64
7,51,1362.06
8,10,1223.65
8,11,922.21
8,13,637.20
8,14,369.96
8,16,926.53
8,18,432.39
8,25,654.79
8,33,994.31
8,49,881.15
8,51,1203.80
10,11,365.93
10,13,686.88
10,14,1154.99
10,16,402.78
10,18,1409.81
10,25,750.89
10,33,288.78
10,49,452.98
10,51,71.34
11,13,328.01
11,14,800.18
11,16,56.08
11,18,1055.06
11,25,385.39
11,33,80.06
11,49,91.61
11,51,317.41
13,14,472.21
13,16,311.89
13,18,727.04
13,25,96.38
13,33,408.00
13,49,260.32
13,51,644.01
14,16,782.05
14,18,255.07
14,25,433.98
14,33,880.11
14,49,729.46
14,51,1115.22
16,18,1035.92
16,25,357.10
16,33,115.00
16,49,53.04
16,51,348.10
18,25,684.08
18,33,1135.03
18,49,983.15
18,51,1370.29
25,33,464.48
25,49,304.11
25,51,702.16
33,49,164.21
33,51,237.74
49,51,399.96
