Player1_ID,Player2_ID,Distance
1,3,686.00
1,4,575.54
1,5,375.83
1,6,821.58
1,7,1250.12
1,8,1016.37
1,10,169.39
1,11,59.48
1,13,433.46
1,14,763.67
1,16,365.94
1,18,1126.89
1,24,385.04
1,25,557.56
1,33,65.31
3,4,262.46
3,5,321.03
3,6,161.15
3,7,564.23
3,8,395.98
3,10,760.37
3,11,674.58
3,13,274.48
3,14,182.73
3,16,418.00
3,18,470.34
3,24,583.81
3,25,322.56
3,33,719.43
4,5,320.06
4,6,305.91
4,7,743.14
4,8,654.40
4,10,699.72
4,11,543.29
4,13,169.07
4,14,213.43
4,16,222.38
4,18,573.13
4,24,350.41
4,25,60.44
4,33,586.69
5,6,471.84
5,7,882.44
5,8,643.45
5,10,439.45
5,11,376.22
5,13,155.86
5,14,440.48
5,16,256.80
5,18,784.47
5,24,423.34
5,25,342.88
5,33,419.08
6,7,441.43
6,8,394.97
6,10,909.86
6,11,803.02
6,13,391.15
6,14,106.53
6,16,511.52
6,18,312.75
6,24,655.92
6,25,361.57
6,33,848.04
7,8,386.34
7,10,1319.03
7,11,1236.90
7,13,828.02
7,14,530.66
7,16,952.94
7,18,241.30
7,24,1093.16
7,25,794.85
7,33,1281.90
8,10,1044.33
8,11,1019.67
8,13,656.70
8,14,497.39
8,16,807.21
8,18,488.90
8,24,977.72
8,25,714.83
8,33,1062.38
10,11,228.60
10,13,540.88
10,14,867.55
10,16,508.83
10,18,1221.68
10,24,551.89
10,25,692.01
10,33,218.33
11,13,412.03
11,14,738.92
11,16,326.90
11,18,1103.84
11,24,329.07
11,25,520.31
11,33,45.04
13,14,330.71
13,16,152.76
13,18,693.48
13,24,328.93
13,25,187.04
13,33,457.01
14,16,430.77
14,18,365.35
14,24,562.59
14,25,264.25
14,33,783.50
16,18,794.33
16,24,177.05
16,25,193.54
16,33,368.74
18,24,912.41
18,25,615.62
18,33,1148.53
24,25,299.04
24,33,357.15
25,33,562.28
